text,label
You are stupid quickly,harassment
Hope you are doing well please,safe
Good morning,safe
Something bad will happen to you please,threat
"Hey, You are going to regret this",threat
How was your day please,safe
Why don't you you are mature for your age,grooming
Why don't you something bad will happen to you,threat
Hope you are doing well please,safe
Why don't you you can trust me,grooming
Why don't you you are going to regret this,threat
Nice to meet you please,safe
Shut up idiot now,harassment
See you tomorrow now,safe
I hate you please,harassment
Hope you are doing well quickly,safe
"Hey, I like you more than your friends",grooming
"Hey, You are pathetic",harassment
You are pathetic now,harassment
Can you it's just between us,grooming
Nice to meet you quickly,safe
Shut up idiot quickly,harassment
Let's keep this secret now,grooming
"Hey, What are you doing today",safe
Can you nobody likes you,harassment
Can you nobody likes you,harassment
I like you more than your friends now,grooming
Stop talking nonsense now,harassment
"Hey, See you tomorrow",safe
Can you have a great day,safe
Can you you are going to regret this,threat
You are mature for your age now,grooming
You are mature for your age quickly,grooming
I will hurt you now,threat
Can you are you alone right now,grooming
I hate you now,harassment
Go away please,harassment
Why don't you stop talking nonsense,harassment
"Hey, Stop talking nonsense",harassment
"Hey, Don't tell anyone about this",grooming
You better be careful,threat
You better be careful,threat
Let's study together now,safe
Take care now,safe
"Hey, I will kill you",threat
Can you see you tomorrow,safe
Why don't you hope you are doing well,safe
Hello how are you now,safe
Why don't you see you tomorrow,safe
Can you hope you are doing well,safe
What are you doing today,safe
Watch what happens to you now,threat
Nobody likes you,harassment
Why don't you i will kill you,threat
What are you doing today quickly,safe
You are going to regret this quickly,threat
Can you nice to meet you,safe
"Hey, You are going to regret this",threat
Hello how are you quickly,safe
Have a great day,safe
"Hey, Good morning",safe
Watch what happens to you now,threat
Stop talking nonsense quickly,harassment
Have a great day,safe
"Hey, I will hurt you",threat
You are mature for your age now,grooming
"Hey, I will expose you",threat
I will destroy your life please,threat
Why don't you you are useless,harassment
Can you you are going to regret this,threat
Hope you are doing well please,safe
Let's keep this secret quickly,grooming
Why don't you let's study together,safe
I will find you now,threat
Can you you don't need to tell your parents,grooming
Can you watch what happens to you,threat
Why don't you how was your day,safe
"Hey, You can trust me",grooming
"Hey, Stop talking nonsense",harassment
Send me your picture now,grooming
Can you i will find you,threat
"Hey, Take care",safe
You don't need to tell your parents quickly,grooming
You are mature for your age quickly,grooming
Why don't you you are useless,harassment
Send me a private photo please,grooming
Why don't you are you alone right now,grooming
Send me a private photo,grooming
Nobody likes you now,harassment
Why don't you you are mature for your age,grooming
I will expose you,threat
You are so annoying quickly,harassment
Why don't you i will find you,threat
You cannot escape please,threat
You are useless please,harassment
You are stupid now,harassment
Can you i hate you,harassment
You don't need to tell your parents,grooming
See you tomorrow please,safe
How was your day quickly,safe
You better be careful,threat
Send me your picture now,grooming
Why don't you i will find you,threat
I will kill you quickly,threat
Send me a private photo please,grooming
"Hey, I hate you",harassment
"Hey, I hate you",harassment
I will find you now,threat
Can you take care,safe
Can you you are useless,harassment
Can you i will find you,threat
You are going to regret this quickly,threat
Can you you cannot escape,threat
You are pathetic,harassment
Why don't you you are going to regret this,threat
Go away please,harassment
"Hey, I will destroy your life",threat
Good morning please,safe
"Hey, You better be careful",threat
Hello how are you now,safe
It's just between us,grooming
